"","x"
"1","Max Planck Institute for Biology and Ageing"
"2","CSIRO Adelaide, Australia"
"3","Lancaster University, Lancaster, UK"
"4","Stanford University, Stanford CA"
"5","University of Texas, Austin TX"
"6","Ben Gurion University, Beer Sheva, Israe"
"7","Amherst College, Amherst MA"
"8","International Institute of Molecular and Cell Biology in Warsaw, Warsaw, Poland"
"9","Waksman Institute, Piscataway NJ"
"10","Harvard University, Cambridge, MA"
"11","Massachusetts General Hospital, Charlestown, MA"
"12","ETH Zurich, Zurich, Switzerland"
"13","East Virginia Medical School, Norfolk VA"
"14","Ohio State University, Wooster, OH"
"15","Cleveland State University, Cleveland OH"
"16","NCI, Frederick MD"
"17","University of Wisconsin, Milwaukee W"
"18","Salk Institute, La Jolla CA"
"19","Fairfield University, Fairfield CT, USA."
"20","Johns Hopkins University, Baltimore, MD"
"21","Boston University School of Medicine, Boston, MA"
"22","University of Pittsburgh, Pittsburgh PA"
"23","UMDNJ, Piscataway NJ"
"24","University of Zurich, Zurich, Switzerland"
"25","Uppsala University, Uppsala, Sweden"
"26","Northwestern University, Chicago IL"
"27","University of Delaware, Newark, DE"
"28","Concordia University, Montreal, Canada"
"29","Catholic Univ of America, Washington DC"
"30","University of Sydney, Sydney, Australia"
"31","St. Catherine University, St. Paul, MN"
"32","University of Potsdam,Institute for Biochemistry and Biology, Karl-Liebknecht-Str. 24 - 25, Haus 26, 14476 Golm, GERMANY."
"33","University of Illinois, Chicago IL"
"34","University of Texas Health Science Center, TX"
"35","Technion-IIT, Haifa, Israel"
"36","University of Toronto, Ontario, Canada"
"37","Northwestern University, Evanston IL"
"38","University of Oxford, Oxford, England"
"39","University of Liverpool, Liverpool, UK"
"40","Southwestern Oklahoma State University, OK"
"41","University of Maryland, College Park MD"
"42","Princeton University, Princeton, NJ"
"43","Suffolk University, Boston, MA"
"44","Centre for Genomic Regulation (CRG), Barcelona, Spain"
"45","University of Haifa at Oranim, Tivon, Israel"
"46","Baylor College of Medicine, Houston TX"
"47","LBMC-ENS Lyon, France"
"48","University of Toronto, Toronto, Ontario, Canada"
"49","Universidad Catolica de Chile, Santiago, Chile"
"50","MDIBL, Salisbury Cove ME"
"51","Okazaki Institute for Integrative Science, Okazaki, Aichi, Japan"
"52","University of Fribourg, Fribourg, Switzerland"
"53","University of Sydney, Camperdown, Australia"
"54","Whitworth University, Spokane, WA"
"55","University of Oxford, Oxford, England"
"56","University of Warwick, Coventry, UK"
"57","University of Rochester Medical Center, Rochester, NY"
"58","MRC-LMB, Cambridge, England"
"59","FHCRC, Seattle WA"
"60","UCLA, Los Angeles CA"
"61","University of Washington, Seattle, WA"
"62","Fundacion Instituto Leloir, Buenos Aires, Argentina"
"63","University of Toronto, Canada"
"64","NC State University, Raleigh, NC"
"65","Worcester Polytechnic Institute, Worcester MA"
"66","The Ohio State University, Columbus, OH"
"67","University of Sheffield, Sheffield, England"
"68","Ohio University, Athens OH"
"69","Kennesaw State University, Kennesaw, GA"
"70","Karolinska Institute, Stockholm, Sweden"
"71","Massachusetts General Hospital, Boston MA"
"72","MD Anderson Cancer Research Center, Houston TX"
"73","Swiss Federal Institute of Technology, Lausanne, Switzerland"
"74","Stanford University, Stanford CA"
"75","AVB BioPharma, Corvallis OR"
"76","Illinois State University, Illinois, IL"
"77","University of Rochester, Rochester N"
"78","University of Oxford, Oxford, England"
"79","University of California, San Francisco CA"
"80","University of Toronto, Ontario, Canada"
"81","MRC-LMB, Cambridge, England"
"82","Duke University, Durham NC"
"83","St Lawrence University, Canton NY"
"84","University of Chicago, Midway IL"
"85","University of Arizona, Tucson AZ"
"86","IISER, Mohali, India"
"87","Brigham Young Univ, Provo UT"
"88","MRC Toxicology Unit,Hodgkin Building,University of Leicester, Lancaster Road 138, Leicester LE19HN (UK)"
"89","University College, London, UK"
"90","Max Delbruck Center, Berlin, Germany"
"91","Harvard Medical School, Boston MA"
"92","University of Utah, Salt Lake City UT"
"93","Fujian Academy of Agricultural Sciences, Fujian, China"
"94","Simon Fraser University, Vancouver, B.C."
"95","CRG, Barcelona, Spain"
"96","Universitaet Wrzburg, Wuerzburg, Germany"
"97","University of Tokyo, Tokyo, Japan"
"98","University of California, Santa Cruz CA"
"99","Pharmacology Department,University of Michigan,1150 W. Medical Center Dr.1301D MSRB III,Ann Arbor, MI 48109. USA."
"100","University of Antwerp, Antwerp, Belgium"
"101","Eugene   Hubrecht Institute,Uppsalalaan 8, 3584 CT, Utrecht, The Netherlands."
"102","University of Paris, Orsay, France"
"103","Tel Aviv University, Tel Aviv, Israel"
"104","University of Wisconsin, Madison WI"
"105","Simon Fraser University, Vancouver, B.C."
"106","University of California, Santa Cruz CA"
"107","Baylor College of Medicine, Houston, TX"
"108","Institute of Cancer Biology, Copenhagen, Denmark"
"109","Johannes Gutenberg Univ, Mainz, Germany"
"110","University of North Dakota, Grand Forks ND"
"111","FHCRC, Seattle WA"
"112","University of Cologne, Cologne, Germany"
"113","University of Kansas, Lawrence KS"
"114","University of Colorado, Denver CO"
"115","University of Miami, Miami FL,33136. USA"
"116","Hangzhou Normal University, Hang'zhou, China"
"117","Boston Biomedical Research Institute,Boston MA"
"118","Centro Andaluz de Biologia del Desarrollo - CABD, Sevilla, Spain"
"119","University of Sussex, Brighton, UK"
"120","Dept Bioengineering, Univ. California -San Diego,417 Powell-Focht Bioengineering Hall,9500 Gilman Drive, La Jolla,CA 92093-0412,USA."
"121","Utrecht University, Utrecht, The Netherlands"
"122","Technion IIT, Haifa, Israel"
"123","Vanderbilt University School of Medicine"
"124","Bioinf. and Mol. Genetics, Freiburg, Germany"
"125","Academica Sinica, Taipei, Taiwan"
"126","BRFAA, Athens, Greece."
"127","Washington University, St. Louis MO"
"128","Naturhistorikiska Riksmuseet, Stockholm, Sweden"
"129","University of Maryland, Baltimore MD"
"130","National Chiao Tung University, Hsinchu, Taiwan"
"131","University of Iowa, Iowa City IA"
"132","Baylor University, Waco TX"
"133","Sloan-Kettering Institute, New York"
"134","University of Colorado, Boulder CO"
"135","Baldwin Wallace University, Berea, OH"
"136","Washington State University, Pullman WA"
